É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:37:15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jun-16,17.4,21.5,14.3,27.4,9.1,72.5,0,6.5,0,19,0,143.7,0,32,0,81,1008.7
Jul-16,21.5,25.8,18.4,31.7,14.9,132.5,0,14,0,48,0,174.7,0,38,0,82,1009.4
Aug-16,24.5,28.7,21,33.4,15.2,251.5,0,24,0,74.5,0,218.6,0,51,0,80,1005.8
Sep-16,20.7,25.1,17.2,30.5,10.2,101,0,10,0,19.5,0,149.9,0,40,0,80,1014
Oct-16,12.7,17.4,8.6,25,0.2,147,0,12.5,0,33,0,126.9,0,37,0,70,1016.8
Nov-16,5,8.9,1.3,17.8,-3.4,90,0,8.5,0,10.5,0,54.5,0,18,0,76,1018.5
Dec-16,2,5.5,-1.4,14.2,-4.2,169,0,6.5,0,25,0,66.2,0,23,0,79,1016.2
Jan-17,-0.4,2.4,-3.2,7.8,-8.1,84,0,4.5,0,11,0,60.8,0,21,0,76,1014.1
Feb-17,0.2,3.1,-2.7,9.1,-7,109,0,7,0,24,0,60,0,20,0,78,1012.2
Mar-17,2.6,6.5,-1,13.7,-5.4,74,0,6,0,13,0,118.7,0,32,0,75,1013.8
Apr-17,9.7,15.2,4.7,22.7,-0.9,48,0,3.5,0,13.5,0,197.5,0,50,0,63,1010.7
May-17,15.1,20.4,10.4,30.1,5.2,36.5,0,4.5,0,15,0,232.9,0,52,0,69,1011.3
Jun-17,16.9,21.4,13.4,27.2,8.7,97.5,0,5.5,0,17,0,193.8,0,43,0,79,1007.7
Jul-17,24,28.6,20.1,35.9,17.2,173.5,0,31,0,44,0,210.4,0,46,0,78,1007.8
Aug-17,22,26.3,18.9,31.6,15.3,120.5,0,19,0,63,0,156.3,0,37,0,78,1008.2
Sep-17,19.1,24.2,14.1,28.9,6.4,108,0,19,0,22.5,0,187.4,0,50,0,75,1010.8
Oct-17,12.7,17.3,8.2,25.7,2.9,167,0,9.5,0,57.5,0,120.1,0,35,0,75,1018.8
Nov-17,6.6,10.2,2.8,21.2,-4.8,200.5,0,8,0,28,0,73.5,0,25,0,75,1015.5
Dec-17,0.2,3,-2.4,8.4,-6.5,169.5,0,3.5,0,13.5,0,48.2,0,17,0,82,1014
Jan-18,-0.9,2,-3.4,8.3,-9.5,104,0,4,0,9,0,66.6,0,22,0,76,1012.2
Feb-18,-1.9,1.4,-5.1,7.3,-10.7,97.5,0,4.5,0,15,0,85.3,0,29,0,79,1015.5
Mar-18,4.6,9.1,-0.1,21.4,-5.8,74.5,0,5.5,0,14,0,150.9,0,41,0,67,1016.4
Apr-18,9.6,14.6,5.5,26.7,0.7,82.5,0,4.5,0,22,0,171.1,0,43,0,65,1013.3
May-18,14.2,19.3,9.7,29.1,4.1,169.5,0,17,0,94,0,200.9,0,45,0,71,1010.5
Jun-18,17.8,22.8,14,30.4,10,102,0,13,0,28,0,172.1,0,38,0,75,1008.5
Jul-18,22.6,26.7,19.6,33.6,13,191,0,21.5,0,49.5,0,150,0,33,0,84,1009.8
Aug-18,22.8,27.4,19.3,34,13.8,180.5,0,17,0,37,0,157.6,0,37,0,78,1008.5
Sep-18,20,24.7,16.1,32.7,10.4,103,0,6,0,47.5,0,167.2,0,45,0,75,1013.4
Oct-18,14.2,19.3,10.1,25.1,5.4,185.5,0,17.5,0,61,0,154.5,0,45,0,75,1015.2
Nov-18,8.3,12.4,4.6,18.9,-2.2,90.5,0,7,0,11.5,0,112.2,0,38,0,75,1019.8
Dec-18,1.2,4.2,-1.2,18.6,-5.9,172.5,0,6.5,0,18.5,0,53.6,0,19,0,80,1017.5
Jan-19,-0.6,2,-3.1,7.7,-7,95.5,0,3.5,0,10.5,0,36.6,0,12,0,77,1014.7
Feb-19,0,3.1,-3,10.7,-8.3,95,0,4.5,0,21,0,83.3,0,28,0,74,1017.2
Mar-19,3.8,8.3,-0.3,18.3,-4.1,87,0,4,0,22,0,140.5,0,38,0,70,1012.2
Apr-19,8.5,13.9,3.8,25.6,-1.9,60.5,0,5,0,15,0,202.9,0,51,0,63,1011.9
May-19,15.8,22.1,10.4,33.6,5,28,0,8,0,14.5,0,282.7,0,63,0,63,1011.3
Jun-19,18.1,23.2,13.9,29.2,10.4,51.5,0,7.5,0,27,0,211.3,0,47,0,75,1007.6
Jul-19,22.1,26.7,18.7,33.5,12.3,37.5,0,12.5,0,15.5,0,203.4,0,45,0,80,1009
Aug-19,24.8,29.8,21.4,35.5,16,195.5,0,25.5,0,91,0,223.7,0,52,0,77,1007.9
Sep-19,21.2,26.1,17,32.5,10.9,44.5,0,7,0,29,0,197.2,0,53,0,72,1014.9
Oct-19,15.1,19.7,10.5,27.6,4.6,172,0,10.5,0,55,0,148.9,0,43,0,75,1017.1
Nov-19,6.3,10.7,2.5,16.6,-3.7,73,0,5.5,0,14.5,0,87.9,0,30,0,70,1017.7
Dec-19,2,5.8,-1.2,14.3,-6,153,0,8,0,35,0,59,0,21,0,77,1018.5
Jan-20,0.9,3.8,-1.7,8.3,-5.7,83,0,4,0,23,0,59.3,0,20,0,77,1017
Feb-20,1.2,4.5,-1.7,10.9,-6.9,66.5,0,3.5,0,10,0,80.2,0,26,0,76,1017.9
Mar-20,5.1,9.9,1.2,18.8,-1.4,81,0,6.5,0,11.5,0,158.5,0,43,0,70,1012.7
Apr-20,7.8,12.5,3.5,20.2,0.1,104,0,6.5,0,20.5,0,139,0,35,0,69,1012.4
May-20,14.4,19.3,10.1,30.1,5.6,75,0,7.5,0,32.5,0,182.7,0,41,0,72,1010.4
Jun-20,19.3,24.2,15.6,32.1,11.9,101.5,0,8,0,31.5,0,210,0,47,0,76,1007
Jul-20,21.2,25.3,18.3,29.2,14.4,200,0,19,0,64,0,167.3,0,37,0,84,1008.7
Aug-20,25.2,29.5,21.9,34.4,18.7,127,0,17.5,0,46.5,0,178.4,0,42,0,79,1010.1
Sep-20,21.3,25.8,17.8,35.7,10.5,199,0,26,0,44,0,172.8,0,46,0,78,1013.4
Oct-20,13.7,18.2,9.7,25.8,4.1,92,0,7.5,0,38.5,0,127.6,0,37,0,74,1016.7
Nov-20,8,12.2,4,24.1,0.3,122,0,6,0,19.5,0,78.5,0,26,0,74,1018.6
Dec-20,0.6,3.3,-1.6,9.4,-7.4,166,0,3,0,17,0,44.6,0,16,0,81,1015.7
Jan-21,-1.9,0.8,-4.4,7.2,-7.6,146.5,0,4,0,17,0,54.6,0,18,0,80,1016.2
Feb-21,-0.7,2.8,-4.2,8,-7.9,97,0,4.5,0,21,0,65.2,0,22,0,79,1012.5
Mar-21,5.4,9.7,1.5,20.1,-5.4,98,0,5,0,32,0,140.7,0,38,0,71,1017
Apr-21,9,14.5,3.9,21.7,-0.3,80,0,3,0,24.5,0,215.3,0,54,0,64,1016.7
May-21,,,,,,,0,,0,,0,,0,,0,,
